sentiment,id,date,query,user,text
0,1956408591,Thu May 28 21:48:57 PDT 2009,NO_QUERY,letgotoosoon,@tommcfly you met the fans on wednesday at hilton's bar. meet us! haha  i know you tired but we spent lost of money here just to see you 
4,2046410820,Fri Jun 05 12:08:24 PDT 2009,NO_QUERY,cazzibabi,@nickybyrneoffic are westlife definently coming back? ive been to every concert in glasgow and last year got first row for the first time 
0,2003672507,Tue Jun 02 06:57:11 PDT 2009,NO_QUERY,clayaaa,@ChristPA I really don't wanna be a vampire loving tween 
4,1468392452,Tue Apr 07 01:23:24 PDT 2009,NO_QUERY,Sbuxblaze,We have $89 in extra GGUI donations and I've been thinking that should go towards IPB. $170 total needed! Can anyone still donate? 
4,1996109649,Mon Jun 01 14:32:58 PDT 2009,NO_QUERY,TessMorris,@JUMPINSOUNDS @CocaBeenSlinky did a really cool thing with a bubble video that might be worth looking into too 
0,2175336668,Mon Jun 15 00:42:24 PDT 2009,NO_QUERY,laurayvette,"bearly got home   ugh need to wash clothes,shower,sleep and wake up early for summer school :@"
0,2060730453,Sat Jun 06 19:28:04 PDT 2009,NO_QUERY,pattyxxcore,i made jiffypop because we have a gas stove here. only to find out it is loaded in trans- and saturated fats  i opted for triscuts.
4,1974086091,Sat May 30 12:24:47 PDT 2009,NO_QUERY,Kutchie1123,Mojitos are really good.  Hanging out with the Covas family for Brittaney's graduation.  
4,1997853022,Mon Jun 01 17:34:08 PDT 2009,NO_QUERY,McDayDreamer,@madilovesmerder me 2  My MacBook is packed with GA music haha
0,1565989234,Mon Apr 20 07:59:18 PDT 2009,NO_QUERY,camiw2,"I miss my friends, I miss my family, I miss my old town! i wanna back home  i dont wanna be here"
4,2014252928,Wed Jun 03 00:55:49 PDT 2009,NO_QUERY,philiplaureano,@noopman Remote? I prefer to be on site.  There's no substitute for working with people in person
4,1770865249,Mon May 11 22:28:11 PDT 2009,NO_QUERY,Muhsinah,@JACKtheTRIPPER hi sweet pea. 
0,1970405491,Sat May 30 03:44:23 PDT 2009,NO_QUERY,xCandyCaneLanex,"@RenoJacy Wow, who doesn't love me? Mama doesn't "
4,1558648785,Sun Apr 19 09:00:20 PDT 2009,NO_QUERY,daikatana85,Belgium's still the same 
0,2224714077,Thu Jun 18 09:50:32 PDT 2009,NO_QUERY,Aintialady,@savvygrl Eww.. That looks gross... I am guilty of still eating fish... 
0,2194061519,Tue Jun 16 09:17:32 PDT 2009,NO_QUERY,ShadderdGlass,Going to chrio then for blood work blah I hate being sick I've felt gross for the last month 
0,2225908046,Thu Jun 18 11:17:41 PDT 2009,NO_QUERY,KriziaBajos,@babygirljer I know   Yoga at 4:30 pm today? I seriously miss my amazon!
4,1880887219,Fri May 22 02:51:27 PDT 2009,NO_QUERY,mirvettium,@Lemonpi is it the one on your blog? next will be mushrooms 
0,1825255459,Sun May 17 05:00:12 PDT 2009,NO_QUERY,jennymeadow,has been driven indoors - away from her bedding plants - by the rain  
0,1980506557,Sun May 31 06:56:27 PDT 2009,NO_QUERY,discomaniac,i feel like i'm still in 7th grade. i hate this leveling up thang. if only we can just fail schoool &amp; stay 7thgrade forevahhhhh 
0,2053697148,Sat Jun 06 05:25:22 PDT 2009,NO_QUERY,Chad_Lad,@Jayme1988 ah bless craig... I seen some the other night on E4 bb docu... i felt really bad for him... 
0,1688812469,Sun May 03 11:58:52 PDT 2009,NO_QUERY,joefiorini,@jendavis I understand! I've put 70k on the car I've had for just 3 years 
0,1973938548,Sat May 30 12:07:35 PDT 2009,NO_QUERY,angelxx71,@anniegxxx can't think of him that way any more  or at least I try not to LOL
0,1975977806,Sat May 30 16:19:10 PDT 2009,NO_QUERY,irishchicky28,WTF?! no pounds lost since I stopped the lemon diet!!!!  sux....
4,2066047382,Sun Jun 07 09:47:20 PDT 2009,NO_QUERY,Char_SOS,@cazob then jb wiill sweep you up and take you with them 
0,1554167906,Sat Apr 18 16:15:17 PDT 2009,NO_QUERY,CHELLETASTIC,@mwahmwah_teh Oh that's awful  I hate when you trust someone and they hurt you so much!! Grr!
0,2066220124,Sun Jun 07 10:06:36 PDT 2009,NO_QUERY,alfiaah,thinking of this problem. i dont know whats going on actually. 
4,1551147576,Sat Apr 18 08:16:21 PDT 2009,NO_QUERY,solhiye,boored and still doesnt get whats TWITTER:someone plss explain to me 
4,2052907290,Sat Jun 06 02:29:58 PDT 2009,NO_QUERY,DocDisraeli,is off to the gym... to do some hectic cardio training 
0,1572842130,Mon Apr 20 22:45:11 PDT 2009,NO_QUERY,meganhurley,@lindseliz tweet tweet! why can't i write on your wall? 
0,2324203142,Thu Jun 25 02:33:19 PDT 2009,NO_QUERY,ChuckReally,is sat by herself  because her time management sucks!
0,1692919804,Sun May 03 21:06:04 PDT 2009,NO_QUERY,4NDR3W_JUN9,This person behind cough like crazy on me. I hope I don't get the swine flu. Pray for me please. 
0,1991058250,Mon Jun 01 06:19:10 PDT 2009,NO_QUERY,CarissaMEB,Why isnt anyone tweeting 
4,1881240611,Fri May 22 04:03:45 PDT 2009,NO_QUERY,Bambi429,@sage_in_spain Good morning  How are you ?Thank you for the #followfriday !
4,2001154935,Tue Jun 02 00:00:21 PDT 2009,NO_QUERY,zsangel,figured out the Internet on my new iPod 
0,2249532719,Fri Jun 19 22:30:45 PDT 2009,NO_QUERY,skyenat,@nokking kino sold out already. Popular also. Borders said they're not sure if they're even able to get copies 
0,1961573888,Fri May 29 09:42:47 PDT 2009,NO_QUERY,DanielleRaee,At work my head hurts a little due to my neck! I hate when I sleep wrong! 
